code,name,start_date,end_date,cup_formed,reason
000731,四川美丰,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000733,振华科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000735,罗 牛 山,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000737,北方铜业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000738,航发控制,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000739,普洛药业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000750,国海证券,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000751,锌业股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000753,漳州发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000755,山西高速,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000756,新华制药,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000757,浩物股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000758,中色股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000759,中百集团,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000761,本钢板材,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000762,西藏矿业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000766,通化金马,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000767,晋控电力,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000768,中航西飞,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000776,广发证券,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000777,中核科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000778,新兴铸管,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000779,甘咨询,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000782,恒申新材,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000783,长江证券,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000785,居然智家,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000786,北新建材,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000788,北大医药,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000789,万年青,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000790,华神科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000791,甘肃能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000792,盐湖股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000795,英洛华,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000796,凯撒旅业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000797,中国武夷,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000798,中水渔业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000799,酒鬼酒,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000800,一汽解放,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000801,四川九洲,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000802,北京文化,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000803,山高环能,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000807,云铝股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000809,和展能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000810,创维数字,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000811,冰轮环境,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000812,陕西金叶,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000813,德展健康,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000815,美利云,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000816,智慧农业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000818,航锦科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000819,岳阳兴长,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000822,山东海化,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000823,超声电子,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000825,太钢不锈,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000826,启迪环境,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000828,东莞控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000829,天音控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000830,鲁西化工,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000831,中国稀土,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000833,粤桂股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000837,秦川机床,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000838,财信发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000839,国安股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000848,承德露露,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000850,华茂股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000852,石化机械,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000856,冀东装备,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000858,五 粮 液,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000859,国风新材,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000860,顺鑫农业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000862,银星能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000863,三湘印象,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000868,安凯客车,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000869,张 裕Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000875,电投绿能,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000876,新 希 望,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000877,天山股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000878,云南铜业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000880,潍柴重机,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000881,中广核技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000882,华联股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000883,湖北能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000885,城发环境,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000886,海南高速,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000887,中鼎股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000888,峨眉山Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000889,中嘉博创,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000890,法尔胜,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000892,欢瑞世纪,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000893,亚钾国际,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000895,双汇发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000897,津滨发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000898,鞍钢股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000899,赣能股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000900,现代投资,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000901,航天科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000902,新洋丰,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000905,厦门港务,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000906,浙商中拓,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000910,大亚圣象,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000911,广农糖业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000912,泸天化,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000913,钱江摩托,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000915,华特达因,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000917,电广传媒,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000919,金陵药业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000920,沃顿科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000921,海信家电,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000922,佳电股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000923,河钢资源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000925,众合科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000926,福星股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000927,中国铁物,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000928,中钢国际,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000930,中粮科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000931,中 关 村,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000932,华菱钢铁,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
